Beta	ln(P(Beta))	ln(T1(Beta))
50.7128	0	-inf
51.5629	0	-inf
52.0652	0	-inf
52.5578	0	-inf
53.3209	0	-inf
54.0937	0	-inf
54.7892	0	-inf
55.1756	0	-inf
56.412	0	-inf
57.7643	0	-inf
59.1167	0	-inf
60.3821	0	-inf
61.6282	0	-inf
63.0095	0	-inf
64.2363	0	-inf
65.5886	0	-inf
66.0716	0	-inf
66.5835	0	-inf
67.4239	0	-inf
68.2063	0	-inf
68.6797	0	-inf
69.2013	0	-inf
69.7422	0	-inf
70.4377	0	-inf
70.8376	0	-inf
71.4809	0	-inf
72.2537	0	-inf
73.0265	0	-inf
73.7992	0	-inf
74.572	0	-inf
75.3448	0	-inf
76.2141	0	-inf
77.0835	0	-inf
77.9529	0	-inf
78.8222	0	-inf
79.6916	0	-inf
80.561	0	-inf
81.4303	0	-inf
82.2997	0	-inf
83.169	0	-inf
84.0384	0	-inf
85.0044	0	-inf
85.9703	0	-inf
86.9363	0	-inf
87.9022	0	-inf
88.8682	0	-inf
89.8342	0	-inf
90.8001	0	-inf
91.7661	0	-inf
92.732	0	-inf
93.698	0	-inf
94.664	0	-inf
95.6299	0	-inf
96.5959	0	-inf
97.755	0	-inf
98.9142	0	-inf
100.073	0	-inf
101.232	0	-inf
102.392	0	-inf
103.551	0	-inf
104.71	0	-inf
105.869	0	-inf
107.028	0	-inf
108.187	0	-inf
109.636	0	-inf
111.085	0	-inf
112.534	0	-inf
113.983	0	-inf
115.432	0	-inf
116.881	0	-inf
118.33	0	-inf
119.779	0	-inf
121.228	0	-inf
122.677	0	-inf
124.126	0	-inf
125.575	0	-inf
127.507	0	-inf
129.438	0	-inf
131.37	0	-inf
133.302	0	-inf
135.234	0	-inf
137.166	0	-inf
139.098	0	-inf
141.03	0	-inf
142.962	0	-inf
144.894	0	-inf
146.826	0	-inf
148.758	0	-inf
150.69	0	-inf
152.718	0	-inf
160.349	0	-inf
168.376	0	-inf
176.79	0	-inf
185.628	0	-inf
194.911	0	-inf
204.658	0	-inf
214.887	0	-inf
225.638	0	-inf
236.911	0	-inf
248.763	0	-inf
261.195	0	-inf
274.255	0	-inf
287.972	0	-inf
302.374	0	-inf
317.491	0	-inf
333.362	0	-inf
350.034	0	-inf
367.538	0	-inf
381.805	0	-inf
