        e        rho(e)      beta     rho(beta)          bigp      t1(beta)
  0.09234    5.3829E+00    3.7786    1.3180E-01    5.3966E-03    2.2044E-02
  0.09361    5.1999E+00    3.8304    1.2732E-01    5.0054E-03    2.0982E-02
  0.09488    4.9984E+00    3.8822    1.2239E-01    4.6208E-03    1.9878E-02
  0.09614    4.8093E+00    3.9339    1.1776E-01    4.2709E-03    1.8855E-02
  0.09741    4.6373E+00    3.9857    1.1355E-01    3.9568E-03    1.7926E-02
  0.09867    4.4607E+00    4.0374    1.0922E-01    3.6578E-03    1.7006E-02
  0.09994    4.2852E+00    4.0892    1.0493E-01    3.3778E-03    1.6116E-02
  0.10120    4.1200E+00    4.1410    1.0088E-01    3.1223E-03    1.5287E-02
  0.10247    3.9575E+00    4.1927    9.6902E-02    2.8841E-03    1.4491E-02
  0.10373    3.8027E+00    4.2445    9.3113E-02    2.6655E-03    1.3744E-02
  0.10499    3.6670E+00    4.2962    8.9790E-02    2.4727E-03    1.3085E-02
  0.10626    3.5377E+00    4.3480    8.6623E-02    2.2953E-03    1.2464E-02
  0.10753    3.3928E+00    4.3998    8.3076E-02    2.1184E-03    1.1805E-02
  0.10879    3.2378E+00    4.4515    7.9281E-02    1.9459E-03    1.1128E-02
  0.11006    3.0836E+00    4.5033    7.5505E-02    1.7840E-03    1.0470E-02
  0.11132    2.9385E+00    4.5551    7.1951E-02    1.6369E-03    9.8582E-03
  0.11259    2.7944E+00    4.6068    6.8423E-02    1.4990E-03    9.2644E-03
  0.11385    2.6183E+00    4.6586    6.4112E-02    1.3528E-03    8.5800E-03
  0.11511    2.3987E+00    4.7103    5.8734E-02    1.1938E-03    7.7700E-03
  0.11638    2.1747E+00    4.7621    5.3250E-02    1.0427E-03    6.9649E-03
  0.11765    1.9730E+00    4.8139    4.8311E-02    9.1153E-04    6.2481E-03
  0.11891    1.7675E+00    4.8656    4.3280E-02    7.8695E-04    5.5356E-03
  0.12018    1.5591E+00    4.9174    3.8177E-02    6.6904E-04    4.8297E-03
  0.12144    1.3881E+00    4.9692    3.3989E-02    5.7418E-04    4.2535E-03
  0.12271    1.2454E+00    5.0209    3.0495E-02    4.9664E-04    3.7756E-03
  0.12397    1.1069E+00    5.0727    2.7103E-02    4.2559E-04    3.3203E-03
  0.12523    9.8997E-01    5.1244    2.4240E-02    3.6705E-04    2.9386E-03
  0.12650    9.1343E-01    5.1762    2.2366E-02    3.2662E-04    2.6835E-03
  0.12777    8.4209E-01    5.2280    2.0619E-02    2.9043E-04    2.4487E-03
  0.12903    7.6983E-01    5.2797    1.8850E-02    2.5612E-04    2.2160E-03
  0.13030    7.1703E-01    5.3315    1.7557E-02    2.3014E-04    2.0435E-03
  0.13156    6.7873E-01    5.3833    1.6619E-02    2.1019E-04    1.9153E-03
  0.13282    6.3793E-01    5.4350    1.5620E-02    1.9063E-04    1.7826E-03
  0.13409    6.0569E-01    5.4868    1.4831E-02    1.7467E-04    1.6762E-03
  0.13536    5.8563E-01    5.5385    1.4340E-02    1.6299E-04    1.6051E-03
  0.13662    5.6188E-01    5.5903    1.3758E-02    1.5095E-04    1.5255E-03
  0.13789    5.3772E-01    5.6421    1.3167E-02    1.3945E-04    1.4462E-03
  0.13915    5.2228E-01    5.6938    1.2788E-02    1.3076E-04    1.3917E-03
  0.14042    5.0899E-01    5.7456    1.2463E-02    1.2304E-04    1.3438E-03
  0.14168    4.9436E-01    5.7973    1.2105E-02    1.1539E-04    1.2933E-03
  0.14295    4.8383E-01    5.8491    1.1847E-02    1.0906E-04    1.2544E-03
  0.14421    4.7325E-01    5.9009    1.1588E-02    1.0302E-04    1.2160E-03
  0.14547    4.5886E-01    5.9526    1.1236E-02    9.6476E-05    1.1686E-03
  0.14674    4.4851E-01    6.0044    1.0982E-02    9.1086E-05    1.1323E-03
  0.14801    4.4179E-01    6.0562    1.0818E-02    8.6672E-05    1.1057E-03
  0.14927    4.3315E-01    6.1079    1.0606E-02    8.2093E-05    1.0747E-03
